"contrast","energy","homogeneity","correlation","dissimilarity","ASM","Entrophy","class"
"54.79210767","0.05114643406","0.3961149964","0.9842129702","3.606666761","0.002615957717","1.898050397","0"
"54.73397832","0.05255470836","0.4041844648","0.9837205","3.561048838","0.002761997371","1.878547795","0"
"64.00779478","0.051774805","0.3997410102","0.9805438598","3.800584372","0.002680630433","1.946148985","0"
"66.02845615","0.05228471902","0.4014719992","0.979795593","3.844364887","0.002733691843","1.958584757","0"
"60.81603186","0.05302346397","0.4094282728","0.9817545094","3.70998783","0.002811487732","1.926790876","0"
"59.06665814","0.05276936097","0.412728833","0.9827224109","3.664952384","0.002784605457","1.916249459","0"
"63.06193676","0.05106067935","0.4064219995","0.9816369947","3.766592318","0.002607192976","1.942166047","0"
"66.80542888","0.05100848605","0.4005205888","0.9807519355","3.882188031","0.002601865649","1.968601696","0"
"71.97338126","0.04901950815","0.3867652802","0.9790732695","4.093674675","0.00240291218","2.00640923","0"
"71.97653516","0.04847061774","0.3830045495","0.9791324653","4.110950101","0.002349400784","2.012487341","0"
"72.2511614","0.04755671883","0.3771409064","0.978759274","4.142195514","0.002261641506","2.004471034","0"
"71.43109482","0.04826894205","0.3765394162","0.9784500082","4.137995047","0.002329890766","1.99266688","0"
"70.71451979","0.04811675053","0.376671996","0.9782495711","4.115969825","0.002315221682","1.970970737","0"
"69.07992253","0.04901766479","0.3782128644","0.9778991874","4.076754417","0.002402731461","1.952327924","0"
"68.84286371","0.04936032967","0.3802438267","0.9776699872","4.055553188","0.002436442145","1.940599031","0"
"68.54098415","0.04921601232","0.3790862357","0.9771268497","4.048776561","0.002422215869","1.933509489","0"
"67.2170036","0.04931926197","0.378793591","0.9773932184","4.023010224","0.002432389601","1.914466871","0"
"63.19340143","0.05035828077","0.3855651891","0.9784277913","3.903256664","0.002535956443","1.876054019","0"
"62.93836158","0.05003175926","0.3847728057","0.9784389723","3.896522657","0.002503176934","1.876432414","0"
"62.44662755","0.04990582304","0.3853451275","0.9784322258","3.86878158","0.002490591173","1.867423551","0"
"61.60754758","0.04968123902","0.3867236071","0.9787126924","3.822495939","0.00246822551","1.859202515","0"
"61.0584561","0.05036824037","0.390352657","0.9788481856","3.784128202","0.002536959638","1.854657199","0"
"57.56980021","0.05097506633","0.3956077452","0.9798870474","3.683160721","0.002598457387","1.823093313","0"
"59.9786567","0.05027915016","0.391602234","0.9791025886","3.753015386","0.002527992941","1.846936193","0"
"7.391647369","0.05999175173","0.4583888675","0.9965647818","1.757499988","0.003599010276","0.7359521228","0"
"9.19279054","0.05604575458","0.4250973783","0.9965268617","1.965221839","0.003141126606","0.7940414553","0"
"13.81373984","0.04263247003","0.3666450335","0.9956009214","2.522250162","0.001817527501","0.9729717793","0"
"26.00492028","0.03240546686","0.2782127449","0.9923984642","3.588188495","0.001050114282","1.175408694","0"
"7.175330426","0.07008531457","0.4873176232","0.9979784709","1.707847344","0.004911951319","0.8381867706","0"
"12.35008785","0.04969790811","0.392742628","0.9966749019","2.346176249","0.00246988207","0.967961002","0"
"8.641913746","0.05537226442","0.4388868989","0.9977074628","1.956816169","0.003066087667","0.8484292028","0"
"2.097259515","0.1096723872","0.6551145655","0.9994208325","0.8866063353","0.01202803252","0.5284617182","0"
"3.147466223","0.09098904605","0.584834176","0.9991846082","1.143876647","0.0082790065","0.5888113459","0"
"5.232228521","0.07253184386","0.5126971235","0.9987995463","1.497705607","0.005260868373","0.7073467301","0"
"5.01601576","0.06931652194","0.5154592463","0.9990853606","1.477091591","0.004804780214","0.697364778","0"
"5.176609035","0.06521502129","0.512896915","0.9991970986","1.497890295","0.004252999001","0.7128913185","0"
"6.090729139","0.05944667968","0.4927863463","0.9991441139","1.621631221","0.003533907725","0.7833711942","0"
"8.935752272","0.05010912836","0.4437392992","0.9987967649","1.965278666","0.002510924745","0.9176374599","0"
"11.44957309","0.04471909698","0.412810448","0.9984571765","2.240653132","0.001999797635","1.031793489","0"
"11.08591305","0.04586195074","0.4172188723","0.9985356937","2.200206472","0.002103318525","1.033106212","0"
"9.06563052","0.05145967376","0.4465010619","0.9988354589","1.971624354","0.002648098023","0.9680884521","0"
"8.757324771","0.0533525747","0.460192019","0.9988751227","1.902143801","0.002846497228","0.9674811297","0"
"7.009646394","0.05912155544","0.4930908042","0.9990779538","1.683170192","0.003495358317","0.893093976","0"
"7.440319747","0.05893629276","0.488769076","0.9990011204","1.72717328","0.003473486605","0.9141575692","0"
"8.340754","0.05604812822","0.4777093311","0.9988480746","1.826232318","0.003141392677","0.9564514853","0"
"12.38879181","0.0477926316","0.4254376836","0.9982651483","2.237849664","0.002284135635","1.09110473","0"
"15.2054535","0.04195802093","0.3932719566","0.9978709544","2.504794783","0.001760475521","1.179979378","0"
